,Survey wave (calendar quarter),Equivalent financial quarter,Site ID,Location,Survey date,Weather,Time,Period,Direction,Start hour,Start minute,Number of private cycles,Number of cycle hire bikes,Total cycles,date
26,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,12:30:00,Inter-peak (10:00-16:00),Northbound,12,30,6,1,7,2014-01-24 12:30:00
27,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,12:45:00,Inter-peak (10:00-16:00),Northbound,12,45,5,2,7,2014-01-24 12:45:00
28,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,13:00:00,Inter-peak (10:00-16:00),Northbound,13,0,4,2,6,2014-01-24 13:00:00
29,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,13:15:00,Inter-peak (10:00-16:00),Northbound,13,15,5,0,5,2014-01-24 13:15:00
30,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,13:30:00,Inter-peak (10:00-16:00),Northbound,13,30,9,3,12,2014-01-24 13:30:00
31,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,13:45:00,Inter-peak (10:00-16:00),Northbound,13,45,8,1,9,2014-01-24 13:45:00
32,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,14:00:00,Inter-peak (10:00-16:00),Northbound,14,0,7,2,9,2014-01-24 14:00:00
33,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,14:15:00,Inter-peak (10:00-16:00),Northbound,14,15,11,0,11,2014-01-24 14:15:00
34,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,14:30:00,Inter-peak (10:00-16:00),Northbound,14,30,11,1,12,2014-01-24 14:30:00
35,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,14:45:00,Inter-peak (10:00-16:00),Northbound,14,45,4,2,6,2014-01-24 14:45:00
36,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,15:00:00,Inter-peak (10:00-16:00),Northbound,15,0,9,3,12,2014-01-24 15:00:00
37,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,15:15:00,Inter-peak (10:00-16:00),Northbound,15,15,7,0,7,2014-01-24 15:15:00
38,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,15:30:00,Inter-peak (10:00-16:00),Northbound,15,30,7,1,8,2014-01-24 15:30:00
39,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,15:45:00,Inter-peak (10:00-16:00),Northbound,15,45,4,0,4,2014-01-24 15:45:00
40,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,16:00:00,PM peak (16:00-19:00),Northbound,16,0,9,0,9,2014-01-24 16:00:00
41,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,16:15:00,PM peak (16:00-19:00),Northbound,16,15,14,4,18,2014-01-24 16:15:00
42,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,16:30:00,PM peak (16:00-19:00),Northbound,16,30,10,1,11,2014-01-24 16:30:00
43,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,16:45:00,PM peak (16:00-19:00),Northbound,16,45,8,1,9,2014-01-24 16:45:00
