,Survey wave (calendar quarter),Equivalent financial quarter,Site ID,Location,Survey date,Weather,Time,Period,Direction,Start hour,Start minute,Number of private cycles,Number of cycle hire bikes,Total cycles,date
1025,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,18,1,19,2016-03-22 06:15:00
1026,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,34,0,34,2016-03-22 06:30:00
1027,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,43,1,44,2016-03-22 06:45:00
1028,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,07:00:00,AM peak (07:00-10:00),Northbound,7,0,76,5,81,2016-03-22 07:00:00
1029,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,07:15:00,AM peak (07:00-10:00),Northbound,7,15,101,8,109,2016-03-22 07:15:00
1030,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,07:30:00,AM peak (07:00-10:00),Northbound,7,30,149,5,154,2016-03-22 07:30:00
1031,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,07:45:00,AM peak (07:00-10:00),Northbound,7,45,198,11,209,2016-03-22 07:45:00
1032,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,08:00:00,AM peak (07:00-10:00),Northbound,8,0,235,14,249,2016-03-22 08:00:00
1033,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,08:15:00,AM peak (07:00-10:00),Northbound,8,15,264,12,276,2016-03-22 08:15:00
1034,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,08:30:00,AM peak (07:00-10:00),Northbound,8,30,272,8,280,2016-03-22 08:30:00
1035,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,08:45:00,AM peak (07:00-10:00),Northbound,8,45,237,5,242,2016-03-22 08:45:00
1036,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,09:00:00,AM peak (07:00-10:00),Northbound,9,0,142,7,149,2016-03-22 09:00:00
1037,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,09:15:00,AM peak (07:00-10:00),Northbound,9,15,103,4,107,2016-03-22 09:15:00
1038,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,09:30:00,AM peak (07:00-10:00),Northbound,9,30,59,10,69,2016-03-22 09:30:00
1039,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,09:45:00,AM peak (07:00-10:00),Northbound,9,45,51,3,54,2016-03-22 09:45:00
1040,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,10:00:00,Inter-peak (10:00-16:00),Northbound,10,0,54,1,55,2016-03-22 10:00:00
1041,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,10:15:00,Inter-peak (10:00-16:00),Northbound,10,15,28,2,30,2016-03-22 10:15:00
1042,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,10:30:00,Inter-peak (10:00-16:00),Northbound,10,30,21,1,22,2016-03-22 10:30:00
1043,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,10:45:00,Inter-peak (10:00-16:00),Northbound,10,45,14,1,15,2016-03-22 10:45:00
1044,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,11:00:00,Inter-peak (10:00-16:00),Northbound,11,0,12,0,12,2016-03-22 11:00:00
1045,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,11:15:00,Inter-peak (10:00-16:00),Northbound,11,15,18,3,21,2016-03-22 11:15:00
1046,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,11:30:00,Inter-peak (10:00-16:00),Northbound,11,30,12,2,14,2016-03-22 11:30:00
1047,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,11:45:00,Inter-peak (10:00-16:00),Northbound,11,45,10,0,10,2016-03-22 11:45:00
1048,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,12:00:00,Inter-peak (10:00-16:00),Northbound,12,0,7,4,11,2016-03-22 12:00:00
1049,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,12:15:00,Inter-peak (10:00-16:00),Northbound,12,15,5,5,10,2016-03-22 12:15:00
1050,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,12:30:00,Inter-peak (10:00-16:00),Northbound,12,30,4,1,5,2016-03-22 12:30:00
1051,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,12:45:00,Inter-peak (10:00-16:00),Northbound,12,45,6,0,6,2016-03-22 12:45:00
1052,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,13:00:00,Inter-peak (10:00-16:00),Northbound,13,0,10,1,11,2016-03-22 13:00:00
1053,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,13:15:00,Inter-peak (10:00-16:00),Northbound,13,15,7,2,9,2016-03-22 13:15:00
1054,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,13:30:00,Inter-peak (10:00-16:00),Northbound,13,30,5,1,6,2016-03-22 13:30:00
1055,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,13:45:00,Inter-peak (10:00-16:00),Northbound,13,45,8,0,8,2016-03-22 13:45:00
1056,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,14:00:00,Inter-peak (10:00-16:00),Northbound,14,0,2,3,5,2016-03-22 14:00:00
1057,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,14:15:00,Inter-peak (10:00-16:00),Northbound,14,15,4,2,6,2016-03-22 14:15:00
1058,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,14:30:00,Inter-peak (10:00-16:00),Northbound,14,30,4,1,5,2016-03-22 14:30:00
1059,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,14:45:00,Inter-peak (10:00-16:00),Northbound,14,45,3,1,4,2016-03-22 14:45:00
1060,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,15:00:00,Inter-peak (10:00-16:00),Northbound,15,0,3,4,7,2016-03-22 15:00:00
1061,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,15:15:00,Inter-peak (10:00-16:00),Northbound,15,15,9,0,9,2016-03-22 15:15:00
1062,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,15:30:00,Inter-peak (10:00-16:00),Northbound,15,30,5,1,6,2016-03-22 15:30:00
1063,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,15:45:00,Inter-peak (10:00-16:00),Northbound,15,45,12,0,12,2016-03-22 15:45:00
1064,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,16:00:00,PM peak (16:00-19:00),Northbound,16,0,8,1,9,2016-03-22 16:00:00
1065,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,16:15:00,PM peak (16:00-19:00),Northbound,16,15,6,3,9,2016-03-22 16:15:00
1066,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,16:30:00,PM peak (16:00-19:00),Northbound,16,30,10,1,11,2016-03-22 16:30:00
1067,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,16:45:00,PM peak (16:00-19:00),Northbound,16,45,14,1,15,2016-03-22 16:45:00
1068,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,17:00:00,PM peak (16:00-19:00),Northbound,17,0,12,2,14,2016-03-22 17:00:00
1069,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,17:15:00,PM peak (16:00-19:00),Northbound,17,15,23,2,25,2016-03-22 17:15:00
1070,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,17:30:00,PM peak (16:00-19:00),Northbound,17,30,14,5,19,2016-03-22 17:30:00
1071,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,17:45:00,PM peak (16:00-19:00),Northbound,17,45,21,1,22,2016-03-22 17:45:00
1072,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,18:00:00,PM peak (16:00-19:00),Northbound,18,0,29,4,33,2016-03-22 18:00:00
1073,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,18:15:00,PM peak (16:00-19:00),Northbound,18,15,24,3,27,2016-03-22 18:15:00
1074,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,18:30:00,PM peak (16:00-19:00),Northbound,18,30,32,1,33,2016-03-22 18:30:00
1075,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,18:45:00,PM peak (16:00-19:00),Northbound,18,45,20,2,22,2016-03-22 18:45:00
1076,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,19:00:00,Evening (19:00-22:00),Northbound,19,0,12,4,16,2016-03-22 19:00:00
1077,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,19:15:00,Evening (19:00-22:00),Northbound,19,15,10,1,11,2016-03-22 19:15:00
1078,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,19:30:00,Evening (19:00-22:00),Northbound,19,30,6,1,7,2016-03-22 19:30:00
1079,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,19:45:00,Evening (19:00-22:00),Northbound,19,45,10,2,12,2016-03-22 19:45:00
1080,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,20:00:00,Evening (19:00-22:00),Northbound,20,0,7,1,8,2016-03-22 20:00:00
1081,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,20:15:00,Evening (19:00-22:00),Northbound,20,15,5,0,5,2016-03-22 20:15:00
1082,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,20:30:00,Evening (19:00-22:00),Northbound,20,30,5,2,7,2016-03-22 20:30:00
1083,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,20:45:00,Evening (19:00-22:00),Northbound,20,45,4,1,5,2016-03-22 20:45:00
1084,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,21:00:00,Evening (19:00-22:00),Northbound,21,0,2,1,3,2016-03-22 21:00:00
1085,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,21:15:00,Evening (19:00-22:00),Northbound,21,15,3,0,3,2016-03-22 21:15:00
1086,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,21:30:00,Evening (19:00-22:00),Northbound,21,30,1,0,1,2016-03-22 21:30:00
1087,2016 Q1 (January-March),2015-16 Q4,CENCY001,Millbank (south of Thorney Street),2016-03-22,Dry,21:45:00,Evening (19:00-22:00),Northbound,21,45,2,0,2,2016-03-22 21:45:00
1152,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,06:00:00,Early Morning (06:00-07:00),Northbound,6,0,9,1,10,2016-06-09 06:00:00
1153,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,28,0,28,2016-06-09 06:15:00
1154,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,37,4,41,2016-06-09 06:30:00
1155,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,51,3,54,2016-06-09 06:45:00
1156,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,07:00:00,AM peak (07:00-10:00),Northbound,7,0,92,8,100,2016-06-09 07:00:00
1157,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,07:15:00,AM peak (07:00-10:00),Northbound,7,15,114,10,124,2016-06-09 07:15:00
1158,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,07:30:00,AM peak (07:00-10:00),Northbound,7,30,168,12,180,2016-06-09 07:30:00
1159,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,07:45:00,AM peak (07:00-10:00),Northbound,7,45,212,10,222,2016-06-09 07:45:00
1160,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,08:00:00,AM peak (07:00-10:00),Northbound,8,0,256,14,270,2016-06-09 08:00:00
1161,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,08:15:00,AM peak (07:00-10:00),Northbound,8,15,288,18,306,2016-06-09 08:15:00
1162,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,08:30:00,AM peak (07:00-10:00),Northbound,8,30,307,15,322,2016-06-09 08:30:00
1163,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,08:45:00,AM peak (07:00-10:00),Northbound,8,45,279,10,289,2016-06-09 08:45:00
1164,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,09:00:00,AM peak (07:00-10:00),Northbound,9,0,173,8,181,2016-06-09 09:00:00
1165,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,09:15:00,AM peak (07:00-10:00),Northbound,9,15,124,7,131,2016-06-09 09:15:00
1166,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,09:30:00,AM peak (07:00-10:00),Northbound,9,30,71,8,79,2016-06-09 09:30:00
1167,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,09:45:00,AM peak (07:00-10:00),Northbound,9,45,64,5,69,2016-06-09 09:45:00
1168,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,10:00:00,Inter-peak (10:00-16:00),Northbound,10,0,52,3,55,2016-06-09 10:00:00
1169,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,10:15:00,Inter-peak (10:00-16:00),Northbound,10,15,41,3,44,2016-06-09 10:15:00
1170,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,10:30:00,Inter-peak (10:00-16:00),Northbound,10,30,23,0,23,2016-06-09 10:30:00
1171,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,10:45:00,Inter-peak (10:00-16:00),Northbound,10,45,18,2,20,2016-06-09 10:45:00
1172,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,11:00:00,Inter-peak (10:00-16:00),Northbound,11,0,15,1,16,2016-06-09 11:00:00
1173,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,11:15:00,Inter-peak (10:00-16:00),Northbound,11,15,10,7,17,2016-06-09 11:15:00
1174,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,11:30:00,Inter-peak (10:00-16:00),Northbound,11,30,9,4,13,2016-06-09 11:30:00
1175,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,11:45:00,Inter-peak (10:00-16:00),Northbound,11,45,5,1,6,2016-06-09 11:45:00
1176,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,12:00:00,Inter-peak (10:00-16:00),Northbound,12,0,5,1,6,2016-06-09 12:00:00
1177,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,12:15:00,Inter-peak (10:00-16:00),Northbound,12,15,8,0,8,2016-06-09 12:15:00
1178,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,12:30:00,Inter-peak (10:00-16:00),Northbound,12,30,11,1,12,2016-06-09 12:30:00
1179,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,12:45:00,Inter-peak (10:00-16:00),Northbound,12,45,7,0,7,2016-06-09 12:45:00
1180,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,13:00:00,Inter-peak (10:00-16:00),Northbound,13,0,10,2,12,2016-06-09 13:00:00
1181,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,13:15:00,Inter-peak (10:00-16:00),Northbound,13,15,5,0,5,2016-06-09 13:15:00
1182,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,13:30:00,Inter-peak (10:00-16:00),Northbound,13,30,7,1,8,2016-06-09 13:30:00
1183,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,13:45:00,Inter-peak (10:00-16:00),Northbound,13,45,10,2,12,2016-06-09 13:45:00
1184,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,14:00:00,Inter-peak (10:00-16:00),Northbound,14,0,6,2,8,2016-06-09 14:00:00
1185,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,14:15:00,Inter-peak (10:00-16:00),Northbound,14,15,7,3,10,2016-06-09 14:15:00
1186,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,14:30:00,Inter-peak (10:00-16:00),Northbound,14,30,9,3,12,2016-06-09 14:30:00
1187,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,14:45:00,Inter-peak (10:00-16:00),Northbound,14,45,4,1,5,2016-06-09 14:45:00
1188,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,15:00:00,Inter-peak (10:00-16:00),Northbound,15,0,7,2,9,2016-06-09 15:00:00
1189,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,15:15:00,Inter-peak (10:00-16:00),Northbound,15,15,8,1,9,2016-06-09 15:15:00
1190,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,15:30:00,Inter-peak (10:00-16:00),Northbound,15,30,7,0,7,2016-06-09 15:30:00
1191,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,15:45:00,Inter-peak (10:00-16:00),Northbound,15,45,7,3,10,2016-06-09 15:45:00
1192,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,16:00:00,PM peak (16:00-19:00),Northbound,16,0,9,0,9,2016-06-09 16:00:00
1193,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,16:15:00,PM peak (16:00-19:00),Northbound,16,15,12,2,14,2016-06-09 16:15:00
1194,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,16:30:00,PM peak (16:00-19:00),Northbound,16,30,16,2,18,2016-06-09 16:30:00
1195,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,16:45:00,PM peak (16:00-19:00),Northbound,16,45,23,4,27,2016-06-09 16:45:00
1196,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,17:00:00,PM peak (16:00-19:00),Northbound,17,0,14,3,17,2016-06-09 17:00:00
1197,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,17:15:00,PM peak (16:00-19:00),Northbound,17,15,21,5,26,2016-06-09 17:15:00
1198,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,17:30:00,PM peak (16:00-19:00),Northbound,17,30,38,10,48,2016-06-09 17:30:00
1199,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Wet,17:45:00,PM peak (16:00-19:00),Northbound,17,45,32,4,36,2016-06-09 17:45:00
1200,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,18:00:00,PM peak (16:00-19:00),Northbound,18,0,27,7,34,2016-06-09 18:00:00
1201,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,18:15:00,PM peak (16:00-19:00),Northbound,18,15,41,2,43,2016-06-09 18:15:00
1202,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,18:30:00,PM peak (16:00-19:00),Northbound,18,30,23,2,25,2016-06-09 18:30:00
1203,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,18:45:00,PM peak (16:00-19:00),Northbound,18,45,16,4,20,2016-06-09 18:45:00
1204,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,19:00:00,Evening (19:00-22:00),Northbound,19,0,19,5,24,2016-06-09 19:00:00
1205,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,19:15:00,Evening (19:00-22:00),Northbound,19,15,10,1,11,2016-06-09 19:15:00
1206,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,19:30:00,Evening (19:00-22:00),Northbound,19,30,6,2,8,2016-06-09 19:30:00
1207,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,19:45:00,Evening (19:00-22:00),Northbound,19,45,10,1,11,2016-06-09 19:45:00
1208,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,20:00:00,Evening (19:00-22:00),Northbound,20,0,5,1,6,2016-06-09 20:00:00
1209,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,20:15:00,Evening (19:00-22:00),Northbound,20,15,4,3,7,2016-06-09 20:15:00
1210,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,20:30:00,Evening (19:00-22:00),Northbound,20,30,3,0,3,2016-06-09 20:30:00
1211,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,20:45:00,Evening (19:00-22:00),Northbound,20,45,2,1,3,2016-06-09 20:45:00
1212,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,21:00:00,Evening (19:00-22:00),Northbound,21,0,4,0,4,2016-06-09 21:00:00
1213,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,21:15:00,Evening (19:00-22:00),Northbound,21,15,2,1,3,2016-06-09 21:15:00
1214,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,21:30:00,Evening (19:00-22:00),Northbound,21,30,1,1,2,2016-06-09 21:30:00
1215,2016 Q2 (April-June),2016-17 Q1,CENCY001,Millbank (south of Thorney Street),2016-06-09,Dry,21:45:00,Evening (19:00-22:00),Northbound,21,45,1,0,1,2016-06-09 21:45:00
1280,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,06:00:00,Early Morning (06:00-07:00),Northbound,6,0,7,0,7,2016-09-12 06:00:00
1281,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,23,1,24,2016-09-12 06:15:00
1282,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,34,3,37,2016-09-12 06:30:00
1283,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,49,5,54,2016-09-12 06:45:00
1284,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,07:00:00,AM peak (07:00-10:00),Northbound,7,0,83,4,87,2016-09-12 07:00:00
1285,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,07:15:00,AM peak (07:00-10:00),Northbound,7,15,118,11,129,2016-09-12 07:15:00
1286,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,07:30:00,AM peak (07:00-10:00),Northbound,7,30,174,16,190,2016-09-12 07:30:00
1287,2016 Q3 (July-September),2016-17 Q2,CENCY001,Millbank (south of Thorney Street),2016-09-12,Dry,07:45:00,AM peak (07:00-10:00),Northbound,7,45,198,19,217,2016-09-12 07:45:00
